Dining & Beverage,Financials,Healthcare,Home,Leisure,Others,Shopping,Transportation,bal_sum
-220.00666666666672,12991.089999999998,-103.8,-230.0,-780.8868292682928,-1060.043181818182,-2833.766666666667,-97.27185628742515,34769.11
0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,56777.44
0.0,384.12874999999997,0.0,0.0,0.0,-151.22222222222223,0.0,0.0,37615.23
0.0,33.33666666666674,0.0,0.0,0.0,0.0,0.0,0.0,66505.03
0.0,-5390.9592,0.0,0.0,0.0,0.0,0.0,0.0,83594.1
1122.0,-566.9933333333333,0.0,0.0,0.0,0.0,0.0,0.0,2578.8499999999995
0.0,-73.32812500000091,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
-220.00666666666672,12991.089999999998,-103.8,-230.0,-780.8868292682928,-1060.043181818182,-2833.766666666667,-97.27185628742515,-18990.05
0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,3018.28
0.0,33.33666666666674,0.0,0.0,0.0,0.0,0.0,0.0,12745.87
0.0,-5390.9592,0.0,0.0,0.0,0.0,0.0,0.0,29834.94
1122.0,-566.9933333333333,0.0,0.0,0.0,0.0,0.0,0.0,12413.79
0.0,-73.32812500000091,0.0,0.0,0.0,-3800.0,0.0,0.0,11200.76
0.0,0.0,0.0,0.0,0.0,-62138.18660956931,0.0,0.0,0.7767273326196164
-220.00666666666672,12991.089999999998,-103.8,-230.0,-780.8868292682928,-1060.043181818182,-2833.766666666667,-97.27185628742515,-9155.109999999999
0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,12853.220000000001
0.0,33.33666666666674,0.0,0.0,0.0,0.0,0.0,0.0,22580.81
0.0,-5390.9592,0.0,0.0,0.0,0.0,0.0,0.0,39669.88
1122.0,-566.9933333333333,0.0,0.0,0.0,0.0,0.0,0.0,2883.364535832076
0.0,-73.32812500000091,0.0,0.0,0.0,-3800.0,0.0,0.0,1670.3345358320762
